paper_id;label;title;author;journal;volume;number;pages;year;doi;abstract;search_duplicated;n_duplicates;screened_abstracts_SD;notes_SD;screened_abstracts_JMGS;notes_JMGS;resolution_discussion;screened_final;notes_final
GNM_112;Veiga20111359;Feathers in the spotless starling nests: A sexually selected trait?;Veiga, J.P. and Polo, V.;Behaviour;148;Nov 13;1359-1375;2011;10.1163/000579511X608684;The carrying of feathers to adorn the nest has been recently described as a female behaviour that indicates quality in a passerine bird-the spotless starling (Sturnus unicolor)-, but the consequences that the variability of this trait may have on breeding success are still unknown. The feather-carrying behaviour is a sexual behaviour that is performed in response to a male display: the carrying of green plants. In this paper we explore whether foreign feathers affect male investment on chick rearing or reinforce the pair mating bonds. The experimental addition of feathers to nests caused an increase in clutch size and a reduction of nestling mortality, although it did not affect feeding rates or the removal of faecal sacs by males or females. Nest feathers did not increase the frequency with which females laid a second clutch in the same nest and with the same male. Thus, our results do not support the sexual selection hypothesis for the evolution of the carrying feathers behaviour. An alternative hypothesis that deserves to be addressed in specifically designed studies is that foreign feathers may be taken to nests as a sort of chemical warfare against nest parasites. The sexual selection and the chemical defence hypotheses are, however, not mutually exclusive and future research should evaluate whether the pre-existence of a behavioural trait arising by natural selection may drive the evolution of a signalling trait. Â© 2011 Koninklijke Brill NV, Leiden.;112;2;excluded;"No green nest material
Interesting paper testing addition of feathers to the nest";excluded;No green nest material;;excluded;No green nest material
GNM_114;X.WOS.000282111400009;RESPONSE OF BIRDS IN TROPICAL DECIDUOUS FOREST TO BROWN-HEADED COWBIRDS (MOLOTHRUS ATER);Mendoza-Rodriguez, Victor H. and Vega Rivera, Jorge H. and Medina-Montano, Irais and Campos-Cerda, Felipe;SOUTHWESTERN NATURALIST;55;3;390-393;2010;10.1894/MH-46.1;"During June September 2007, we searched bird nests for evidence of parasitism by brown-headed cowbirds (Molothrus ater) and we tested response of the avian community to taxidermy mounts of a brown-headed cowbird in a tropical deciduous forest in the Chamela-Cuixmala Biosphere Reserve in western Mexico. Of 46 nests found (black-capped gnatcatcher Polioptila nigriceps, 2; red-breasted chat Granatellus venustus, 1; blue bunting Cyanocompsa parellina, 1; orange-breasted bunting Passerine leclancherii, 1; rufous-backed thrush Turdus rulopalliatus, 1; yellow-green vireo Vireo flavoviridis, 39), only one was parasitized (nest of a black-capped gnatcatcher). Experimental responses to taxidermy mounts suggested that yellow-green vireos may have had previous contact with cowbirds. We conclude that in the Chamela-Cuixmala Biosphere Reserve, parasitism by brown-headed and bronzed cowbirds (Molothrus aeneus) remains low, or even absent for some species, as on the yellow-green vireo, but this situation could change in the near future because significant developments for the tourism industry are planned adjacent to the reserve; that could create new habitat and sources of food for cowbirds.";114;1;excluded;No green nest material;excluded;"No green nest material
";;excluded;No green nest material
GNM_127;Masello2008653;Is the structural and psittacofulvin-based coloration of wild burrowing parrots Cyanoliseus patagonus condition dependent?;Masello, J.F. and Lubjuhn, T. and Quillfeldt, P.;Journal of Avian Biology;39;6;653-662;2008;10.1111/j.1600-048X.2008.04417.x;The bright colours of parrots are caused by psittacofulvin pigments, which appear unique to this Order, and by structural colours. We measured red (psittacofulvin), green (mixed) and blue (structural) colours of wild burrowing parrots Cyanoliseus patagonus of northeastern Patagonia, Argentina, and measured nestlings regularly to obtain data on breeding success and nestling growth. As adult feathers are moulted outside the breeding season, adult body condition could not be measured directly during feather growth, and climatic conditions were used as an indirect parameter. The colony of burrowing parrots is surrounded by Monte steppe habitat, the breeding success has been shown to depend strongly on the climatic patterns. The area experienced a drought with very poor breeding success as well as a year of above-average precipitation during the study period, serving as a natural experiment. We thus analysed the variability of colouration within the population among and within breeding seasons. We observed strong inter-annual differences in nestling and adult colouration. Nestlings grew blue feathers with lower achromatic brightness during better conditions, and when controlling for year effects, nestlings with higher mass and from more successful families also had blue feathers with lower achromatic brightness. Adult blue feathers showed the same trend, with lower achromatic brightness in the moult following breeding seasons of better conditions. In contrast, during better conditions, adults grew red feathers with higher achromatic brightness and the colour hue was also affected, and the hue of the red region of nestlings varied with the hatching order. The colour of all three regions of nestlings varied between nests, and the colour of the red region of adult males positively correlated with breeding success (clutch size, brood size). In summary, the present data suggest that environmental conditions contribute to variability in both structural and the psittacofulvin-based colours of wild burrowing parrots. Â© 2008 The Authors.;127;2;excluded;Not experimental;excluded;Not experimental;;excluded;Not experimental
GNM_130;Soler2008183;Sexually selected egg coloration in spotless starlings;Soler, J.J. and Navarro, C. and Contreras, T.P. and AvilÃ©s, J.M. and Cuervo, J.J.;American Naturalist;171;2;183-194;2008;10.1086/524958;It has been recently proposed that the blue-green coloration in eggs of many avian species may constitute a sexually selected female signal. Blue-green color intensity would reflect the physiological condition of females, and hence it might also affect the allocation of male parental care. In this study, we use three different experimental approaches to explore the importance of sexual selection on blue-green egg coloration of spotless starling (Sturnus unicolor) eggs. First, experimental deterioration of female body condition (by means of wing feather removal) negatively affected the intensity of blue-green egg coloration. Second, blue-green color intensity of artificial model eggs had a significant positive influence on paternal feeding effort. Finally, we found a negative relationship between the effect of experimental food supply on nestling immunocompetence and the intensity of blue-green coloration of eggs, suggesting that egg color predicts nutritional conditions that nestlings will experience during development. All these results taken together strongly support a role of sexual selection in the blue-green coloration of spotless starling eggs. Â© 2007 by The University of Chicago. All rights reserved.;130;2;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
GNM_135;Gentes2007167;Tree swallows (Tachycineta bicolor) nesting on wetlands impacted by oil sands mining are highly parasitized by the bird blow fly Protocalliphora spp;Gentes, M.-L. and Whitworth, T.L. and Waldner, C. and Fenton, H. and Smits, J.E.;Journal of Wildlife Diseases;43;2;167-178;2007;10.7589/0090-3558-43.2.167;"Oil sands mining is steadily expanding in Alberta, Canada. Major companies are planning reclamation strategies for mine tailings, in which wetlands will be used for the bioremediation of water and sediments contaminated with polycyclic aromatic hydrocarbons and naphthenic acids during the extraction process. A series of experimental wetlands were built on companies' leases to assess the feasibility of this approach, and tree swallows (Tachycineta bicolor) were designated as upper trophic biological sentinels. From May to July 2004, prevalence and intensity of infestation with bird blow flies Protocalliphora spp. (Diptera: Calliphoridae) were measured in nests on oil sands reclaimed wetlands and compared with those on a reference site. Nestling growth and survival also were monitored. Prevalence of infestation was surprisingly high for a small cavity nester; 100% of the 38 nests examined were infested. Nests on wetlands containing oil sands waste materials harbored on average from 60% to 72% more blow fly larvae than those on the reference site. Nestlings on reclaimed sites suffered mean parasitic burdens about twice that of those on the reference site; and for comparable parasitic load, they exhibited greater pathologic effects (e.g., decreased body mass) than control nestlings. The heavy blow fly infestation on oil sands-impacted wetlands suggests that oil sands mining disturbs several components of the local, ecosystem, including habitat characteristics, blow fly predators, and host resistance to parasites. Â© Wildlife Disease Association 2007.";135;2;excluded;Not experimental;excluded;Not experimental;;excluded;Not experimental
GNM_146;X.WOS.000222125700012;Against the odds? Nestling sex ratio variation in green-rumped parrotlets;Budden, AE and Beissinger, SR;BEHAVIORAL ECOLOGY;15;4;607-613;2004;10.1093/beheco/arh052;"We investigated nestling sex ratio variation in the green-rumped parrotlet (Forpus passerinus), a small neotropical parrot breeding in central Venezuela. There are strong theoretical reasons to predict a female-biased sex ratio in this system according to the local resource hypothesis; juvenile males are philopatric and there are high levels of competition between male siblings for access to breeding females. Data were collected from two breeding sites over a 14-year period incorporating 564 broods with a total of 2728 nestlings. The mean percentage of male nestlings across years was 51\%. Despite extreme hatching asynchrony in this system and increased survival of earlier hatched offspring, there was no bias in sex allocation associated with egg sequence. Patterns in sex allocation were not associated with clutch size, age, or size of the breeding female or breeding site. The potential for selective resorption of eggs was considered; however, no significant relationship was found between extended laying intervals and the sex of subsequent eggs. Together, these results suggest that female parrotlets are unable to regulate the sex ratio of their clutch at laying or that facultative manipulation of nestling sex ratio may not confer a fitness benefit to breeders in these populations.";146;2;excluded;Not experimental;excluded;Not experimental;;excluded;Not experimental
GNM_148;X.WOS.000223085900003;Egg colouration and male parental effort in the pied flycatcher Ficedula hypoleuca;Moreno, J and Osorno, JL and Morales, J and Merino, S and Tomas, G;JOURNAL OF AVIAN BIOLOGY;35;4;300-304;2004;10.1111/j.0908-8857.2004.03407.x;A recent hypothesis posits that the bright colours of many avian eggs may act like signals of female genetic quality or condition to males in species with biparental care, inducing them to work harder for their offspring. We measured the colour of blue eggs of pied flycatchers Ficedula hypoleuca in Central Spain with a spectrophotometer on the day of laying, and also quantified the provisioning effort by males and females during the last days of the nestling period. Both chromaticity coordinates in the CIELAB colour space (blue to yellow, green to red) showed significant associations with male provisioning rates, explaining more than 20\% of variation in male parental effort. Male provisioning rates were positively correlated with nestling condition, thereby potentially contributing to female fitness. This evidence is only tentative until experimental confirmation, but suggests that males are affected by the colour of their mates' eggs, a possibility not considered hitherto in the study of sexual selection.;148;2;excluded;No green nest material;excluded;Not experimental;Not experimental: observational study;excluded;Not experimental
GNM_151;Passos2004376;Interaction between ants and fruits of Guapira opposita (Nyctaginaceae) in a Brazilian sandy plain rainforest: Ant effects on seeds and seedlings;Passos, L. and Oliveira, P.S.;Oecologia;139;3;376-382;2004;10.1007/s00442-004-1531-5;This study examines the dispersal system of Guapira opposita in a tropical sandy rainforest in southeast Brazil. Guapira trees produce small fruits with a high protein content (28.4%) and low lipid content (0.3%), and the plant is primarily dispersed by birds. Mature fruits of G. opposita can fall spontaneously with the pulp intact, or be dropped by birds with bits of pulp attached. In either case, ground-dwelling ants rapidly remove the fruits to their nest (93% after 12 h). The ponerine ants Odontomachus chelifer and Pachycondyla striata are the main seed vectors among the ants, and together account for 56% (20 of 36) of the ant-fruit interactions recorded on the forest floor. Individual workers of O. chelifer and P. striata transport single fruits to their nests. Bits of pulp are fed to larvae and worker nestmates, and intact seeds are discarded outside the nest. Germination success in Guapira is higher for cleaned seeds (pulp removed) than for seeds coated by pulp. Guapira seedlings and juveniles are more frequent close to Odontomachus nests than at sites without such nests. Soil samples from Odontomachus nests had greater penetrability, and higher concentrations of P, K, and Ca than random soil samples. Field experiments suggest that the association between G. opposita seedlings and O. chelifer nests can potentially render the plant some protection against herbivores. Results indicate that fruit displacement by ponerine ants play an important role in the biology of G. opposita seeds and seedlings in the sandy forest, and illustrate the complex nature of the dispersal ecology of tropical tree species. Â© Springer-Verlag 2004.;151;2;excluded;Not birds;excluded;"Not birds
";;excluded;Not birds
GNM_154;Stavropoulos2003905;In vitro study of guide wire entrapment in currently available inferior vena cava filters;Stavropoulos, S.W. and Itkin, M. and Trerotola, S.O.;Journal of Vascular and Interventional Radiology;14;7;905-910;2003;10.1097/01.RVI.0000082827.75926.10;"PURPOSE: Guide wire entrapment by some older inferior vena cava (IVC) filters is known to occur, particularly with J-tipped wires. Three new IVC filters have recently been approved for use in the United States. An in vitro study was performed to compare the risk of engaging and entrapping guide wires in eight of the IVC filters currently available in the United States. MATERIALS AND METHODS: Titanium Greenfield, over-the-wire stainless-steel Greenfield, Simon nitinol, Bird's Nest, Vena Tech LGM, Vena Tech LP, TrapEase, and GÃ¼nther Tulip IVC filters were deployed separately in an in vitro IVC flow model. Four different wires (15-mm, 3-mm, and 1.5-mm J-tipped, and straight) were passed 100 times each through the filters (50 from a jugular approach and 50 from a femoral approach). The frequency and specific patterns of engagement of the wires by the filters were recorded. Engagement was defined as a filter/wire interaction that caused either the filter or the wire to be deformed. The second part of the experiment measured the force (in pounds) that was required to release wires that became engaged in the filters with use of an electromechanical test stand with a specially designed low-capacity load cell of 20 pounds. Entrapment was defined as inability to separate an engaged wire from the filter without damage to either the wire or filter. RESULTS: Guide wire engagement occurred in all filters tested with the 15-mm, 3-mm, and 1.5-mm J-tipped wires. The straight wire did not engage any of the filters. The wires engaged the TrapEase filter with the greatest frequency overall (72.8%; 291 of 400). The 15-mm J wire engaged the filters more often than the other wires (98.5%; 788 of 800), but never became entrapped in a filter. The Vena Tech LP and GÃ¼nther Tulip filters did not entrap any of the wires. The TrapEase filter, the stainless-steel Greenfield filter, and the Vena Tech LGM filter entrapped the 3-mm and 1.5-mm J wires. The force required to disengage the wires from these filters exceeded 4 pounds and resulted in structural damage to the wire and/or filter. CONCLUSIONS: Among the IVC filters recently approved by the Food and Drug Administration, the TrapEase filter entrapped 3-mm and 1.5-mm J-tipped guide wires, whereas the Vena Tech LP and GÃ¼nther Tulip filters did not. This study corroborates previously described wire entrapment by the stainless-steel Greenfield and Vena Tech LGM devices.";154;2;excluded;Out of field;excluded;"Out of field
";;excluded;Out of field
GNM_163;X.WOS.000171105000003;Thirty-year bird population trends in an unfragmented temperate deciduous forest: Importance of habitat change;Holmes, RT and Sherry, TW;AUK;118;3;589-609;2001;"10.1642/0004-8038(2001)118{[}0589:TYBPTI]2.0.CO;2";"Abundances of forest birds in an unfragmented, undisturbed, and relatively mature temperate deciduous forest at the Hubbard Brook Experimental Forest, New Hampshire, changed markedly between 1969 and 1998. Total numbers of birds (all species combined) declined from 210-220 individuals/10 ha in the early 1970s to 70-90/10 ha in the 1990s. Of the 24 regularly occurring species, 12 decreased significantly (four to local extinction), three increased significantly, and nine remained relatively constant in abundance. Nine of the 12 declining species were Neotropical migrants. Most species exhibited similar trends on Brooding Bird Survey (BBS) routes in New Hampshire during the same 30 year period and on three replicate study sites in nearby sections of the White Mountains from 1986-1998. Probable causes of trends were diverse and differed among species. Most could be accounted for by individual species' responses to events occurring primarily in the local breeding area. The most important local factor affecting bird abundance was temporal change in forest vegetation structure, resulting from natural forest succession and local disturbances. Four species that declined markedly and in some cases disappeared completely from the study plot (Least Flycatcher, Empidonax minimus; Wood Thrush, Hylocichla mustelina; Philadelphia Vireo, Vireo philadelphicus; and American Redstart, Setophaga ruticilla) appear to attain peak abundance in early or mid successional forests. Species preferring more mature forests, such as Black-throated Green Warbler (Dendroica virens) and Ovenbird (Seirus aurocapillus), increased significantly in abundance over the 30 year study. Other important factors influencing bird abundances were food availability and events in the migratory and winter periods. Nest-predation rates, although varying among years, showed no long-term pattern that would account for population declines, and brood parasites were absent from this forest. Findings from this study demonstrate that major changes in bird abundances occur over time even in undisturbed and relatively mature forests, and illustrate the need for considering habitat requirements of individual species and how habitat suitability changes over time when trying to assess the causes of their long-term population trends. The results also imply that any conclusions about the effects of other factors affecting forest bird abundances, such as increased nest predation or brood parasitism associated with habitat fragmentation, must also account for successional changes that may be affecting habitat suitability.";163;2;excluded;Not experimental;excluded;Not experimental;;excluded;Not experimental
GNM_166;X.WOS.000166819600002;Detection of phytoplasma infection in rose, with degeneration symptoms;Kaminska, M and Dziekanowska, D and Rudzinska-Langwald, A;JOURNAL OF PHYTOPATHOLOGY;149;1;03. Oct;2001;10.1046/j.1439-0434.2001.00554.x;In 1998 a severe disease was observed on rose cvs. `Patina', `Papillon' and `Mercedes' cultivated in a commercial greenhouse in poland. The symptoms included stunted growth, bud proliferation, leaf malformation and deficiency of flower buds. Sporadically some plants yielded flower buds transformed into big-bud structures and degenerated flowers. Tho presence of phytoplasma in roses with severe symptoms as well as in recovered plants and Catharanthus roseus experimentally infected by grafting and via dodder was demonstrated by nested polymerase chain reaction assay with primers pair R16F2/R2 or R16F1/R0 and R16(I)F1/R1 amplifying phytoplasma 16S rDNA fragment. The polymerase chain reaction products (1.1 kb) used for restriction fragment length polymorphism analysis after digestion with endonuclease enzymes AluI and MseI produced the same restriction profiles for all samples. The restriction profiles of phytoplasma DNA from these plants corresponded to those of an aster yellows phytoplasma reference strain. Electron microscope examination of the ultra-thin sections of the stem showed wall thickenings of many sieve tubes of the diseased roses and single phytoplasma cells within a sieve element of the phloem of experimentally infected periwinkles. This paper is the first report on aster yellows phytoplasma in rose identified at a molecular level.;166;2;excluded;Not birds;excluded;Not birds;;excluded;Not birds
GNM_176;Bertaccini1998693;Molecular detection of phytoplasmas in apple with rubbery wood symptoms;Bertaccini, A. and Vibio, M. and Franova-Honetslegrova, J. and Janeckova, M.;Acta Horticulturae;472;NA;693-700;1998;10.17660/ActaHortic.1998.472.93;Rubbery wood is a severe disease which affects both apple and pear trees and may cause severe losses in some countries. The affected plants show a partial lack of lignification of young branches which gives the plant a typical prostrate appearance. In longitudinal sections of flower petioles and green prebursted shoots from grafts or diseased trees, strong fluorescent areas associated with DNA due to phytoplasmas or to other infectious agents were observed using fluorescent microscopy-DAPI technique. Round structures resembling phytoplasmas were also observed under the scanning electron microscope. Further analyses were performed to verify the presence of phytoplasma and allow their molecular identification. Samples from two source plants from the Czech Republic and one from Canada were employed in direct and nested polymerase chain reaction assays together with apple proliferation samples and group specific control phytoplasma strains as positive controls. General ribosomal primer pairs employed were R16F1/R0 and R16F2/R2, while group-specific primer pairs were R16(I)F1/R1, R16(III)F2/R1, R16(V)F1/R1 and R16(X)F1/R1. A DNA fragment of 1.2 kb was produced from some of the rubbery wood samples and from apple proliferation samples as well as from the positive controls when nested PCR was carried out with the primer pair R16F2/R2. The amplification with specific primers yielded a 1.1 kb fragment from the rubbery wood samples amplified using primer pairs R16(I)F1/R1. RFLP analysis confirmed that phytoplasmas that belong to the aster yellows group (16SrI) were present. PCR experiments with primers that amplify a chromosomal portion of aster yellows group phytoplasmas followed by Southern hybridization with the homologous DNA probe confirmed the presence, in some of the apple rubbery wood samples, of phytoplasma that belong to the aster yellows group.;176;2;excluded;Not birds;excluded;Not birds;;excluded;Not birds
GNM_177;Koenen1996292;Habitat changes and success of artificial nests on an alkaline flat;Koenen, M.T. and Leslie Jr., D.M. and Gregory, M.;Wilson Bulletin;108;2;292-301;1996;NA;We studied habitat changes and success of artificial ground nests on an expansive alkaline flat at Salt Plains National Wildlife Refuge (NWR), Oklahoma, in 1993 and 1994. Aerial photographs of the refuge taken during 1941-1942, 1966, and 1989 were digitized to evaluate changes of the alkaline flat, herbaceous rangeland, and shrub rangeland that was dominated by saltcedar (Tamarix spp.). Vegetation cover increased by about 600 ha between 1941 and 1989, and alkaline flat decreased by >240 ha. Field experiments were conducted to determine predator and flooding impacts on artificial nests that simulated Least Tern (Sterne antillarum) and Snowy Plover (Charadrius alexandrinus) nests. Experimental nest plots were placed on the alkaline flat adjacent to, 500 m from, and 1000 m from herbaceous rangeland, shrub rangeland, and stream habitat that was not associated with vegetation. Plot comparisons were made by calculating the probability of nest success with a modified Mayfield Method. Nests near vegetation had significantly higher losses to mammalian predators (P < 0.05) but significantly lower losses to flooding (P < 0.05) than nests at 500 or 1000 m from vegetation. Encroaching vegetation will likely continue to reduce habitat for ground nesting birds and simultaneously increase predation rates on nests.;177;2;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
GNM_186;Ramirez20222189;Specificity within birdâ€“parasiteâ€“parasitoid food webs: A novel approach for evaluating potential biological control agents of the avian vampire fly;Ramirez, I.E. and Causton, C.E. and Gutierrez, G.A. and Mosquera, D. and Piedrahita, P. and Heimpel, G.E.;Journal of Applied Ecology;59;8;2189-2198;2022;10.1111/1365-2664.14235;Quantitative food web analyses can provide insights into the specificity of consumers such as herbivores, parasites and parasitoids. Understanding such patterns can be useful in forecasting the potential benefits and risks of biological control agents being considered for introduction against invasive species. The avian vampire fly, Philornis downsi (Diptera: Muscidae), is a neotropical bird parasite that is invasive in the Galapagos Islands, where it is causing substantial mortality of endemic bird species. We used a novel in-field experimental food web approach within the native range of P. downsi in Ecuador to test the hypotheses that pupal parasitoids known to attack P. downsi specialize on members of the genus Philornis, which occur only in bird nests. We deployed pupae of non-Philornis fly species adjacent to bird nests to assess specificity of the parasitoids and used two indices to assess specificity: Resource Range (RR), which evaluates the breadth of host use, and Pair Difference Index (PDI), which evaluates interaction strength. The results revealed very strong compartmentalization within the guild of pupal fly parasitoids, with four species attacking only Philornis spp. Both specificity indices indicated significant levels of specificity towards the genus Philornis for two of these species: Conura annulifera and Trichopria sp. novus. We also assessed the specificity of the two dominant Philornis species attacking 11 bird species and preference of the two dominant parasitoid species for bird species. Although there was some significant preference for particular bird species by the Philornis spp., there was no indication that this drove specificity patterns by the parasitoids. Policy implications. Our results confirm previous laboratory studies indicating specificity by C. annulifera and support the hypothesis that this species would produce few, if any, nontarget impacts if released into Galapagos to suppress populations of the P. downsi. These results can inform an environmental risk assessment framework to guide governmental agencies in deliberation on potential field releases of parasitoids in the Galapagos Islands. Â© 2022 The Authors. Journal of Applied Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society.;186;1;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
GNM_188;Radin2022;Lucanthone Targets Lysosomes to Perturb Glioma Proliferation, Chemoresistance and Stemness, and Slows Tumor Growth In Vivo;Radin, D.P. and Smith, G. and Moushiaveshi, V. and Wolf, A. and Bases, R. and Tsirka, S.E.;Frontiers in Oncology;12;NA;NA;2022;10.3389/fonc.2022.852940;Glioblastoma is the most common and aggressive primary brain tumor in adults. Median survival time remains at 16-20 months despite multimodal treatment with surgical resection, radiation, temozolomide and tumor-treating fields therapy. After genotoxic stress glioma cells initiate cytoprotective autophagy, which contributes to treatment resistance, limiting the efficacy of these therapies and providing an avenue for glioma recurrence. Antagonism of autophagy steps has recently gained attention as it may enhance the efficacy of classical chemotherapies and newer immune-stimulating therapies. The modulation of autophagy in the clinic is limited by the low potency of common autophagy inhibitors and the inability of newer ones to cross the blood-brain barrier. Herein, we leverage lucanthone, an anti-schistosomal agent which crosses the blood-brain barrier and was recently reported to act as an autophagy inhibitor in breast cancer cells. Our studies show that lucanthone was toxic to glioma cells by inhibiting autophagy. It enhanced anti-glioma temozolomide (TMZ) efficacy at sub-cytotoxic concentrations, and suppressed the growth of stem-like glioma cells and temozolomide-resistant glioma stem cells. In vivo lucanthone slowed tumor growth: reduced numbers of Olig2+ glioma cells, normalized tumor vasculature, and reduced tumor hypoxia. We propose that lucanthone may serve to perturb a mechanism of temozolomide resistance and allow for successful treatment of TMZ-resistant glioblastoma. Copyright Â© 2022 Radin, Smith, Moushiaveshi, Wolf, Bases and Tsirka.;188;1;excluded;Out of field;excluded;"Out of field 
";;excluded;Out of field
GNM_191;Lahti2021;Analysis of Egg Variation and Foreign Egg Rejection in RÃ¼ppellâ€™s Weaver (Ploceus galbula);Lahti, D.C.;Frontiers in Ecology and Evolution;9;NA;NA;2021;10.3389/fevo.2021.734126;"Egg appearance is notable for its variation and as a source of recognition cues in bird species that are subject to egg-mimicking brood parasitism. Here I analyze the egg appearance of an East African weaverbird species that has variable eggs and is a host of brood parasitism by an egg-mimicking cuckoo, in order to (1) compare population variation to variation within a clutch as a measure of the distinctiveness of eggs; (2) assess modularity versus correlation among egg appearance traits as an indication of the complexity of egg signatures; and (3) address whether the eggs are discretely polymorphic or continuously variable in appearance. I also compare three methods of assessing egg coloration: reduction of spectral data to orthogonal components, targeted spectral shape variables, and avian visual modeling. Then I report the results of egg replacement experiments that assess the relationship between egg rejection behavior and the difference in appearance between own and foreign eggs. RÃ¼ppellâ€™s weaver (Ploceus galbula) eggs are variable in appearance between individuals and consistent within a clutch, but vary widely in the distinctiveness of particular traits. Most aspects of color and spotting are decoupled from each other, including coloration likely to derive from different pigments. Egg ground color is bimodal, with a broad continuous class of off-white/UV eggs and another broad class of blue-green eggs. Variation in all other traits is unimodal and usually normal in distribution. Females reject foreign eggs on the basis of the difference in brightness of the ground color and spotting of foreign eggs relative to their own, and the difference in degree to which spots are aggregated at the broad end of the egg. This aggregation is among the most distinctive features of their eggs, but the brightness of the ground color and spotting brightness are not; the birdsâ€™ use of brightness rather than the more distinctive chromatic variation to recognize eggs might reflect the salience of achromatic contrast in a dim enclosed nest. Â© Copyright Â© 2021 Lahti.";47;1;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
GNM_194;Chartier2021;Emu Oil and Saireito in combination reduce tumour development and clinical indicators of disease in a mouse model of colitis-associated colorectal cancer;Chartier, L.C. and Fujino, J. and Howarth, G.S. and Freysdottir, J. and Hardardottir, I. and Mashtoub, S.;Biomedicine and Pharmacotherapy;138;NA;NA;2021;10.1016/j.biopha.2021.111478;"Background: Emu Oil (EO) previously demonstrated therapeutic potential in a mouse model of colitis-associated CRC (CA-CRC). Saireito, a traditional Japanese medicine, has not been investigated in CA-CRC. Aim: To determine whether EO and Saireito could be therapeutic in an azoxymethane (AOM)/dextran sulphate sodium (DSS) model of CA-CRC. Methods: Female C57BL/6 mice were assigned to groups (n = 10/group); 1) saline control, 2) saline+Saireito, 3) saline+EO, 4) saline+EO/Saireito, 5) AOM/DSS control, 6) AOM/DSS+Saireito, 7) AOM/DSS+EO and 8) AOM/DSS+EO/Saireito. Mice were intraperitoneally injected with saline or AOM (7.4 mg/kg) on day 0 and underwent three DSS/water cycles (2%w/v DSS for 7 days, 14 days water). Mice were orally-gavaged with either water (80 ÂµL), Saireito (80 ÂµL), EO (80 ÂµL) or EO/Saireito (160 ÂµL; 80 ÂµL EO + 80 ÂµL Saireito) thrice weekly. Daily bodyweight and disease activity index (DAI) were recorded and colonoscopies performed on days 20, 41 and 62. Mice were euthanized on day 63. p < 0.05 was considered statistically significant. Results: AOM/DSS induced significant bodyweight loss throughout the trial (max âˆ’36%), which was attenuated by Saireito (max +7%), EO (max +5%) and EO/Saireito (max +14%; p < 0.05). AOM/DSS increased DAI compared to saline controls (p < 0.05), which was reduced by Saireito, EO and EO/Saireito (p < 0.05). All treatments reduced colonoscopically-assessed colitis severity (days 20 and 41; p < 0.05). EO/Saireito further decreased colitis severity compared to Saireito and EO alone (day 20; p < 0.05). Finally, EO and EO/Saireito resulted in fewer colonic tumours compared to AOM/DSS controls (p < 0.05). Conclusion: Combined EO and Saireito reduced disease and tumour development in AOM/DSS mice, suggesting therapeutic potential in CA-CRC. Â© 2021";193;1;excluded;Out of field;excluded;Out of field;;excluded;Out of field
GNM_196;Zu.U.00C3..U.00B1.iga.Palacios2021547;Living fences decrease the edge effect on nest predation in a tropical dry forest landscape: evidence from an experiment using artificial nests;ZuÃ±iga-Palacios, J. and Corcuera, P. and AlmazÃ¡n-NÃºÃ±ez, R.C.;Agroforestry Systems;95;3;547-558;2021;10.1007/s10457-021-00603-z;Agricultural expansion has contributed to the loss and fragmentation of natural habitats and, as a consequence, the edge effect in these habitats has increased, leading to nest predation rates higher at the edge of fragments than in the interior. Living fences in abandoned croplands, however, add a structural component to the landscape which can help to mitigate the effects of disturbance. We used artificial nests to assess whether a living fence at the edge of a fragment of tropical dry forest, immersed in an agricultural landscape, can assuage the edge effect by decreasing predation rates. We identified the predators that attacked nests at several distances from the living fence and related the frequency of predator attacks with plant height, leaf height diversity, and tree and herb coverage. Vegetation structure of the living fence was vertically more complex than that found inside the fragment. 52% of nests were predated and we did not find a significant relationship between predation rates and the proximity of nests to the living fence, suggesting a null edge effect on predation. Birds were the most frequent predators, followed by rodents and carnivorous mammals, with the composition of predators varying among transects. The composition of predators and vegetation structure of the living fence were the factors that explained the null edge effect on nests predation. Our results indicate that the presence of a living fence at the edge of a fragment in agroforestry systems could mitigate the edge effects on nest predation. Â© 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.;195;1;excluded;No green nest material;excluded;Not experimental;Not experimental: observational study;excluded;Not experimental
