"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"West A.G.; Digby A.; Lear G.; Armstrong D.; Armstrong-James D.; Bromley M.; Buckley E.; Chatterton J.; Cox M.P.; Cramer R.A.; Crane J.; Dearden P.K.; Eason D.; Fisher M.C.; Gago S.; Gartrell B.; Gemmell N.J.; Glare T.R.; Guhlin J.; Howard J.; Lacap-Bugler D.; Le Lec M.; Lin X.X.; Lofgren L.; Mackay J.; Meis J.; Morelli K.A.; Perrott J.; Petterson M.; Quinones-Mateu M.; Rhodes J.; Roberts J.; Stajich J.; Taylor M.W.; Tebbutt S.J.; Truter-Meyer A.; Uddstrom L.; Urban L.; van Rhijn N.; Vercoe D.; Vesely E.; Weir B.S.; Winter D.J.; Yeung J.","West, Annie G. (57200390896); Digby, Andrew (6603274146); Lear, Gavin (23978142300); Armstrong, Doug (7404406926); Armstrong-James, Darius (57200299365); Bromley, Mike (57194243830); Buckley, Elizabeth (57211519327); Chatterton, James (36997765300); Cox, Murray P. (8699959500); Cramer, Robert A. (7102501409); Crane, Jodie (56583552400); Dearden, Peter K. (7004027723); Eason, Daryl (6701314297); Fisher, Matthew C. (55936464000); Gago, Sara (53986171200); Gartrell, Brett (57065083300); Gemmell, Neil J. (7003864817); Glare, Travis R. (6604068770); Guhlin, Joseph (55931223500); Howard, Jason (15061580900); Lacap-Bugler, Donnabella (55602099700); Le Lec, Marissa (57218139449); Lin, Xiao Xiao (57348002400); Lofgren, Lotus (56967861600); Mackay, John (58303833900); Meis, Jacques (55941779900); Morelli, Kaesi A. (57215220150); Perrott, John (55880344900); Petterson, Megan (57195266201); Quinones-Mateu, Miguel (6701528564); Rhodes, Johanna (56437255600); Roberts, Joanna (57888741100); Stajich, Jason (7003427286); Taylor, Michael W. (7406242798); Tebbutt, Scott J. (6701561071); Truter-Meyer, Amber (58303306000); Uddstrom, Lydia (57215924367); Urban, Lara (57205742402); van Rhijn, Norman (57203674302); Vercoe, Deidre (58000324800); Vesely, Elisa (57192711177); Weir, Bevan S. (56276303700); Winter, David J. (37035335300); Yeung, Juliana (58303124800)","57200390896; 6603274146; 23978142300; 7404406926; 57200299365; 57194243830; 57211519327; 36997765300; 8699959500; 7102501409; 56583552400; 7004027723; 6701314297; 55936464000; 53986171200; 57065083300; 7003864817; 6604068770; 55931223500; 15061580900; 55602099700; 57218139449; 57348002400; 56967861600; 58303833900; 55941779900; 57215220150; 55880344900; 57195266201; 6701528564; 56437255600; 57888741100; 7003427286; 7406242798; 6701561071; 58303306000; 57215924367; 57205742402; 57203674302; 58000324800; 57192711177; 56276303700; 37035335300; 58303124800","Influence of management practice on the microbiota of a critically endangered species: a longitudinal study of kākāpō chick faeces and associated nest litter","2022","Animal Microbiome","4","1","55","","","","6","10.1186/s42523-022-00204-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146845448&doi=10.1186%2fs42523-022-00204-w&partnerID=40&md5=dce34f78a109c11ba081b82072550ab7","Background: The critically endangered kākāpō is a flightless, nocturnal parrot endemic to Aotearoa New Zealand. Recent efforts to describe the gastrointestinal microbial community of this threatened herbivore revealed a low-diversity microbiota that is often dominated by Escherichia-Shigella bacteria. Given the importance of associated microbial communities to animal health, and increasing appreciation of their potential relevance to threatened species conservation, we sought to better understand the development of this unusual gut microbiota profile. To this end, we conducted a longitudinal analysis of faecal material collected from kākāpō chicks during the 2019 breeding season, in addition to associated nest litter material. Results: Using an experimental approach rarely seen in studies of threatened species microbiota, we evaluated the impact of a regular conservation practice on the developing kākāpō microbiota, namely the removal of faecal material from nests. Artificially removing chick faeces from nests had negligible impact on bacterial community diversity for either chicks or nests (p > 0.05). However, the gut microbiota did change significantly over time as chick age increased (p < 0.01), with an increasing relative abundance of Escherichia-Shigella coli over the study period and similar observations for the associated nest litter microbiota (p < 0.01). Supplementary feeding substantially altered gut bacterial diversity of kākāpō chicks (p < 0.01), characterised by a significant increase in Lactobacillus bacteria. Conclusions: Overall, chick age and hand rearing conditions had the most marked impact on faecal bacterial communities. Similarly, the surrounding nest litter microbiota changed significantly over time since a kākāpō chick was first placed in the nest, though we found no evidence that removal of faecal material influenced the bacterial communities of either litter or faecal samples. Taken together, these observations will inform ongoing conservation and management of this most enigmatic of bird species. © 2022, The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146845448"
"Zamoto-Niikura A.; Saigo A.; Sato M.; Kobayashi H.; Sasaki M.; Nakao M.; Suzuki T.; Morikawa S.","Zamoto-Niikura, Aya (6507335760); Saigo, Akiko (58778190600); Sato, Masahiko (58777910600); Kobayashi, Hirotaka (57213620781); Sasaki, Mizuki (15053860600); Nakao, Minoru (55608013800); Suzuki, Tadaki (58298514000); Morikawa, Shigeru (7102226341)","6507335760; 58778190600; 58777910600; 57213620781; 15053860600; 55608013800; 58298514000; 7102226341","The presence of Ixodes pavlovskyi and I. pavlovskyi–borne microorganisms in Rishiri Island: an ecological survey","2023","mSphere","8","6","","","","","0","10.1128/msphere.00213-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180543817&doi=10.1128%2fmsphere.00213-23&partnerID=40&md5=6e8c3365be2f13b60456fcd021a59a2e","Rishiri Island, towering toward the Sea of Japan, has been volcanically dormant for approximately 8,000 years. This small inhabited island is free of middle-to large-sized wildlife and a crucial stopover for wild birds migrating along various routes of the East Asian Flyway. A 5-year survey was conducted to explore the biogeography of ticks and tick-borne microorganisms. By flagging vegetation, Ixodes pavlovskyi (Pomerantzev, 1948), distributed in limited spots in the Far East, was predominantly collected (60%–80% collection) throughout the survey period. The I. pavlovskyi consisted of two haplogroups, Asahikawa-type and Rishiri-type, with the prevalence and nucleotide diversity of Rishiri-type being over 90% and 0.068, respectively. A survey of wild animals revealed that red-backed voles and wild birds, including Oriental greenfinches and black-faced buntings, are their hosts for blood feeding. Furthermore, the red-backed voles were infected with tick-borne Candidatus Ehrlichia khabarensis (5/21, 24%). Till date, microorganisms with identical gene sequences have only been reported from Khabarovsk and Vancouver. Ca. E. khabarensis gene has also been detected in host-seeking adult I. pavlovskyi. These results indicated that Rishiri Island is a refuge for both I. pavlovskyi and I. pavlovskyi–borne microorganisms. Additionally, the Babesia microti US lineage, which is vectored by Ixodes persulcatus in the Far East, appears to be maintained between I. pavlovskyi and wild rodents. Various factors have influenced the unique ecosystem of the island. The historical and ecological biogeography of Rishiri Island helps us understand the origin, evolution, and expansion of ticks and associated microorganisms. Copyright © 2023 Zamoto-Niikura et al.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85180543817"
"Voltura E.V.; Tracy J.L.; Heatley J.J.; Kiacz S.; Brightsmith D.J.; Filippi A.M.; Franco J.G.; Coulson R.","Voltura, Elise Varaela (57206195002); Tracy, James L. (8735691200); Heatley, J. Jill (6601977277); Kiacz, Simon (57219697834); Brightsmith, Donald J. (6603407458); Filippi, Anthony M. (8868254400); Franco, Jesús G. (58751396000); Coulson, Robert (7004529128)","57206195002; 8735691200; 6601977277; 57219697834; 6603407458; 8868254400; 58751396000; 7004529128","Modelling Red-Crowned Parrot (Psittaciformes: Amazona viridigenalis [Cassin, 1853]) distributions in the Rio Grande Valley of Texas using elevation and vegetation indices and their derivatives","2023","PLoS ONE","18","12 December","e0294118","","","","1","10.1371/journal.pone.0294118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179020664&doi=10.1371%2fjournal.pone.0294118&partnerID=40&md5=e125b042590f1ee2da4d3427c4b8e9f1","Texas Rio Grande Valley Red-crowned Parrots (Psittaciformes: Amazona viridigenalis [Cassin, 1853]) primarily occupy vegetated urban rather than natural areas. We investigated the utility of raw vegetation indices and their derivatives as well as elevation in modelling the Red- crowned parrot's general use, nest site, and roost site habitat distributions. A feature selection algorithm was employed to create and select an ensemble of fine-scale, top-ranked MaxEnt models from optimally-sized, decorrelated subsets of four to seven of 199 potential variables. Variables were ranked post hoc by frequency of appearance and mean permutation importance in top-ranked models. Our ensemble models accurately predicted the three distributions of interest (x Area Under the Curve [AUC] = 0.904-0.969). Top-ranked variables for different habitat distribution models included: (a) general use-percent cover of preferred ranges of entropy texture of Normalized Difference Vegetation Index (NDVI) values, entropy and contrast textures of NDVI, and elevation; (b) nest site-entropy textures of NDVI and Green-Blue NDVI, and percent cover of preferred range of entropy texture of NDVI values; (c) roost site-percent cover of preferred ranges of entropy texture of NDVI values, contrast texture of NDVI, and entropy texture of Green-Red Normalized Difference Index. Texas Rio Grande Valley Red- crowned Parrot presence was associated with urban areas with high heterogeneity and randomness in the distribution of vegetation and/or its characteristics (e.g., arrangement, type, structure). Maintaining existing preferred vegetation types and incorporating them into new developments should support the persistence of Red-crowned Parrots in southern Texas. © 2023 Voltura et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179020664"
"Yan C.; Yang S.; Shao S.; Zu R.; Lu H.; Chen Y.; Zhou Y.; Ying X.; Xiang S.; Zhang P.; Li Z.; Yuan Y.; Zhang Z.; Wang P.; Xie Z.; Wang W.; Ma H.; Sun Y.","Yan, Chenchen (57198882127); Yang, Song (57211072635); Shao, Simai (57219434796); Zu, Runru (58895196900); Lu, Hao (58895416800); Chen, Yuanzhao (58128308600); Zhou, Yangang (58895857100); Ying, Xiran (57948563500); Xiang, Shixie (58102775800); Zhang, Peixu (58895197000); Li, Zhonghua (57191727761); Yuan, Ye (57222981459); Zhang, Zhenqiang (57202252538); Wang, Pan (57194449721); Xie, Zhishen (56088076100); Wang, Wang (57195936589); Ma, Huifen (57222310150); Sun, Yiran (57191342470)","57198882127; 57211072635; 57219434796; 58895196900; 58895416800; 58128308600; 58895857100; 57948563500; 58102775800; 58895197000; 57191727761; 57222981459; 57202252538; 57194449721; 56088076100; 57195936589; 57222310150; 57191342470","Exploring the anti-ferroptosis mechanism of Kai-Xin-San against Alzheimer's disease through integrating network pharmacology, bioinformatics, and experimental validation strategy in vivo and in vitro","2024","Journal of Ethnopharmacology","326","","117915","","","","1","10.1016/j.jep.2024.117915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185489652&doi=10.1016%2fj.jep.2024.117915&partnerID=40&md5=4470b15861478731ddc0dc4a6dfd203a","Ethnopharmacological relevance: Kai Xin San (KXS), first proposed by Sun Simiao during the Tang Dynasty, has been utilized to treat dementia by tonifying qi and dispersing phlegm. Aim of the study: This study aimed to elucidate the mechanism by which KXS exerts its therapeutic effects on Alzheimer's disease (AD) by targeting ferroptosis, using a combination of network pharmacology, bioinformatics, and experimental validation strategies. Materials and methods: The active target sites and the further potential mechanisms of KXS in protecting against AD were investigated through molecular docking, molecular dynamics simulation, and network pharmacology, and combined with the validation of animal experiments. Results: Computational and experimental findings provide the first indication that KXS significantly improves learning and memory defects and inhibits neuronal ferroptosis by repairing mitochondria damage and upregulating the protein expression of ferroptosis suppressor protein 1 (FSP1) in vivo APP/PS1 mice AD model. According to bioinformatics analysis, the mechanism by which KXS inhibits ferroptosis may involve SIRT1. KXS notably upregulated the mRNA and protein expression of SIRT1 in both vivo APP/PS1 mice and in vitro APP-overexpressed HT22 cells. Additionally, KXS inhibited ferroptosis induced by APP-overexpression in HT22 cells through activating the SIRT1-FSP1 signal pathway. Conclusions: Collectively, our findings suggest that KXS may inhibit neuronal ferroptosis through activating the SIRT1/FSP1 signaling pathway. This study reveals the scientific basis and underlying modern theory of replenishing qi and eliminating phlegm, which involves the inhibition of ferroptosis. Moreover, it highlights the potential application of SIRT1 or FSP1 activators in the treatment of AD and other ferroptosis-related diseases. © 2024 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85185489652"
"Cornejo J.; Dierenfeld E.S.; Renton K.; Bailey C.A.; Stahala C.; Cruz-Nieto J.; Brightsmith D.J.","Cornejo, Juan (22033649600); Dierenfeld, Ellen S. (7006516756); Renton, Katherine (7005489761); Bailey, Christopher A. (7402066296); Stahala, Caroline (16317483100); Cruz-Nieto, Javier (14034993000); Brightsmith, Donald J. (6603407458)","22033649600; 7006516756; 7005489761; 7402066296; 16317483100; 14034993000; 6603407458","Nutrition of free-living Neotropical psittacine nestlings and implications for hand-feeding formulas","2022","Journal of Animal Physiology and Animal Nutrition","106","5","","1174","1188","14","1","10.1111/jpn.13749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133322261&doi=10.1111%2fjpn.13749&partnerID=40&md5=c0d0e6d3303202c8a91be08b72462ade","Psittacidae is one of the most endangered families of birds in the world. Knowledge of their nutrition is important for understanding their survival and productivity in the wild, as well as for their adequate husbandry under human care. Hand-rearing is a common practice for psittacines, however research on their nutrition is limited. We analysed the predicted metabolisable energy, crude protein, crude fat, minerals and the essential amino acid profiles of the crop contents from free-living nestlings of scarlet macaws (Ara macao) and red-and-green macaws (Ara chloropterus) from southeastern Peru, Cuban Amazons (Amazona leucocephala bahamensis) from the Bahamas, lilac-crowned Amazons (Amazona finschi) from northwestern Mexico and thick-billed parrots (Rhynchopsitta pachyrhyncha) from northern Mexico. The crop content of the different parrot species displayed remarkably similar nutritional profiles, considering their diversity in habitats, geographic ranges and food sources. The crude protein and crude fat concentrations in crop samples were particularly similar for the Ara and Amazona species, while the thick-billed parrot stood out for its higher crude fat and lower crude protein content. Wider variations were found among the concentrations of sodium (Na) and iron (Fe), proline and tryptophan. Compared with the requirements of 6−12 weeks leghorn chickens, all free-ranging parrot diets contained lower crude protein, calcium (Ca), potassium (P) and Na concentrations. The hand-feeding formulas contained lower crude fat, magnesium (Mg), arginine, valine and phenylalanine concentrations, as well as much higher levels of Ca and zinc (Zn), in comparison with parrot crop samples. Our data suggest that a single formulation could be used to hand-rear Ara and Amazona sp. of 3 weeks of age and older, while a different formulation would likely be more appropriated for Rhynchopsitta sp. Experimental studies should evaluate if increasing the concentration of crude fat, Mg, arginine, valine and phenylalanine enhances psittacine chick growth and health. © 2022 Wiley-VCH GmbH.","Article","Final","","Scopus","2-s2.0-85133322261"
"Radin D.P.; Smith G.; Moushiaveshi V.; Wolf A.; Bases R.; Tsirka S.E.","Radin, Daniel P. (57062270800); Smith, Gregory (57577838000); Moushiaveshi, Victoria (57644927500); Wolf, Alexandra (57646416900); Bases, Robert (7006854573); Tsirka, Stella E. (7004198805)","57062270800; 57577838000; 57644927500; 57646416900; 7006854573; 7004198805","Lucanthone Targets Lysosomes to Perturb Glioma Proliferation, Chemoresistance and Stemness, and Slows Tumor Growth In Vivo","2022","Frontiers in Oncology","12","","852940","","","","10","10.3389/fonc.2022.852940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128954582&doi=10.3389%2ffonc.2022.852940&partnerID=40&md5=af14910b3b9609a9b3018f4ef74859b5","Glioblastoma is the most common and aggressive primary brain tumor in adults. Median survival time remains at 16-20 months despite multimodal treatment with surgical resection, radiation, temozolomide and tumor-treating fields therapy. After genotoxic stress glioma cells initiate cytoprotective autophagy, which contributes to treatment resistance, limiting the efficacy of these therapies and providing an avenue for glioma recurrence. Antagonism of autophagy steps has recently gained attention as it may enhance the efficacy of classical chemotherapies and newer immune-stimulating therapies. The modulation of autophagy in the clinic is limited by the low potency of common autophagy inhibitors and the inability of newer ones to cross the blood-brain barrier. Herein, we leverage lucanthone, an anti-schistosomal agent which crosses the blood-brain barrier and was recently reported to act as an autophagy inhibitor in breast cancer cells. Our studies show that lucanthone was toxic to glioma cells by inhibiting autophagy. It enhanced anti-glioma temozolomide (TMZ) efficacy at sub-cytotoxic concentrations, and suppressed the growth of stem-like glioma cells and temozolomide-resistant glioma stem cells. In vivo lucanthone slowed tumor growth: reduced numbers of Olig2+ glioma cells, normalized tumor vasculature, and reduced tumor hypoxia. We propose that lucanthone may serve to perturb a mechanism of temozolomide resistance and allow for successful treatment of TMZ-resistant glioblastoma. Copyright © 2022 Radin, Smith, Moushiaveshi, Wolf, Bases and Tsirka.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128954582"
"Athanasiou C.E.; Deng B.; Hassen A.A.","Athanasiou, Christos E. (56308607300); Deng, Bolei (57194393135); Hassen, Ahmed A. (56845019800)","56308607300; 57194393135; 56845019800","Integrating Experiments, Simulations, and Artificial Intelligence to Accelerate the Discovery of High-Performance Green Composites","2024","AIAA SciTech Forum and Exposition, 2024","","","","","","5","1","10.2514/6.2024-0041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190886399&doi=10.2514%2f6.2024-0041&partnerID=40&md5=495d6b8fbd0da98e66472aa856b12bd6","The imperative for incorporating greener materials into the aerospace industry necessitates addressing significant challenges associated with the microstructural variability exhibited by recycled and sustainable feedstocks. In this study, we propose an integrated methodology that combines experimental investigations, finite element analysis, and artificial intelligence to develop sustainable composites with consistent properties. Our approach utilizes a pipeline comprising an automated mechanical tester, a finite element method simulator, and a convolutional neural network predictor to identify and optimize fabrication parameters for achieving desired mechanical characteristics in composites. By employing a nested-loop pipeline, our methodology improves sample efficiency, accuracy, and effectively bridges the gap between simulations and real-world performance. This unique methodology offers a promising avenue for facilitating the adoption of aerospace-appropriate green composites. © 2024 by Christos E. Athanasiou, Bolei Deng.","Conference paper","Final","","Scopus","2-s2.0-85190886399"
"Turner M.A.; Powell B.L.; Wade GeFellers J.; Bones J.T.; Marshall S.G.; Harper C.A.","Turner, Mark A. (57211942451); Powell, Bonner L. (57928114400); Wade GeFellers, J. (58192529500); Bones, Jacob T. (58192371600); Marshall, Spencer G. (58192371700); Harper, Craig A. (7201981368)","57211942451; 57928114400; 58192529500; 58192371600; 58192371700; 7201981368","Sericea lespedeza control with postemergence and preemergence herbicide applications in fields managed for northern bobwhite","2023","Wildlife Society Bulletin","47","2","e1442","","","","0","10.1002/wsb.1442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153200855&doi=10.1002%2fwsb.1442&partnerID=40&md5=509773c67475846f46940eb249ccdeaa","Sericea lespedeza (Lespedeza cuneata) is an invasive nonnative legume that commonly occurs on sites managed for northern bobwhite (Colinus virginianus). Sericea reduces bobwhite habitat availability by outcompeting native plants that provide food and cover. Sericea can be controlled with postemergence herbicides such as glyphosate as well as a mixture of triclopyr with fluroxypyr, but these herbicides do not provide preemergence control. Imazapic has been effective at controlling a limited number of planted sericea seeds, but the efficacy of imazapic at various application rates to control sericea seedbank response following treatment with a postemergence herbicide has not been evaluated. We designed a field experiment to evaluate sericea control and changes in the plant community as related to bobwhite habitat with 2 postemergence herbicides followed by preemergence treatment of imazapic at 3 sites in Tennessee and Alabama, USA, 2018–2022. Specifically, we treated sericea with postemergence broadcast applications of glyphosate or triclopyr with fluroxypyr in 2018 and applied spot treatment with the same herbicides in 2019–2021. We applied imazapic at 4 rates following prescribed fire in 2019 and 2022. We measured coverage of sericea, native forbs, annual grasses, perennial grasses, and bobwhite food plants before treatment in 2018 and after all treatments in 2022. Nearly all postemergence treatments reduced sericea coverage, but imazapic did not increase control compared to postemergence herbicides alone. Perennial grasses used for nesting and bobwhite foraging were maintained following treatments. We recommend managers use either glyphosate or triclopyr with fluroxypyr to control sericea postemergence and consider using a low rate of imazapic to reduce annual grasses if coverage is a problem on the site. © 2023 The Authors. Wildlife Society Bulletin published by Wiley Periodicals LLC on behalf of The Wildlife Society.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85153200855"
"Nakagomi T.; Nakano-Doi A.; Kubo S.; Sawano T.; Kuramoto Y.; Yamahara K.; Matsuyama T.; Takagi T.; Doe N.; Yoshimura S.","Nakagomi, Takayuki (7007163149); Nakano-Doi, Akiko (26536539800); Kubo, Shuji (7403312346); Sawano, Toshinori (56727984700); Kuramoto, Yoji (55484937400); Yamahara, Kenichi (6701602039); Matsuyama, Tomohiro (7401770557); Takagi, Toshinori (36657649100); Doe, Nobutaka (6602796059); Yoshimura, Shinichi (55484764800)","7007163149; 26536539800; 7403312346; 56727984700; 55484937400; 6701602039; 7401770557; 36657649100; 6602796059; 55484764800","Transplantation of Human Brain-Derived Ischemia-Induced Multipotent Stem Cells Ameliorates Neurological Dysfunction in Mice After Stroke","2023","Stem Cells Translational Medicine","12","6","","400","414","14","4","10.1093/stcltm/szad031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163489736&doi=10.1093%2fstcltm%2fszad031&partnerID=40&md5=98c9dee5972836cf38ac92b9eab96fe3","We recently demonstrated that injury/ischemia-induced multipotent stem cells (iSCs) develop within post-stroke human brains. Because iSCs are stem cells induced under pathological conditions, such as ischemic stroke, the use of human brain-derived iSCs (h-iSCs) may represent a novel therapy for stroke patients. We performed a preclinical study by transplanting h-iSCs transcranially into post-stroke mouse brains 6 weeks after middle cerebral artery occlusion (MCAO). Compared with PBS-treated controls, h-iSC transplantation significantly improved neurological function. To identify the underlying mechanism, green fluorescent protein (GFP)-labeled h-iSCs were transplanted into post-stroke mouse brains. Immunohistochemistry revealed that GFP+ h-iSCs survived around the ischemic areas and some differentiated into mature neuronal cells. To determine the effect on endogenous neural stem/progenitor cells (NSPCs) by h-iSC transplantation, mCherry-labeled h-iSCs were administered to Nestin-GFP transgenic mice which were subjected to MCAO. As a result, many GFP+ NSPCs were observed around the injured sites compared with controls, indicating that mCherry+ h-iSCs activate GFP+ endogenous NSPCs. In support of these findings, coculture studies revealed that the presence of h-iSCs promotes the proliferation of endogenous NSPCs and increases neurogenesis. In addition, coculture experiments indicated neuronal network formation between h-iSC- and NSPC-derived neurons. These results suggest that h-iSCs exert positive effects on neural regeneration through not only neural replacement by grafted cells but also neurogenesis by activated endogenous NSPCs. Thus, h-iSCs have the potential to be a novel source of cell therapy for stroke patients. © The Author(s) 2023. Published by Oxford University Press.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163489736"
"Chen J.; Mao C.; Ye H.; Gao X.; Zhao L.","Chen, Jueling (58637714100); Mao, Chunling (57296155600); Ye, Heng (57300998800); Gao, Xun (57194944839); Zhao, Longshan (45861580200)","58637714100; 57296155600; 57300998800; 57194944839; 45861580200","Natural biomass carbon Dots-Based fluorescence sensor for high precision detection of vitamin B12 in serum","2024","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","305","","123459","","","","3","10.1016/j.saa.2023.123459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173626081&doi=10.1016%2fj.saa.2023.123459&partnerID=40&md5=76a3a2a9d6d91e684945cb3e48451c33","Vitamin B12(Vit B12) is an essential micronutrient for body growth, and abnormal levels of Vit B12 in the human body are closely associated with the prediction of certain diseases. Hence, a rapid, sensitive, and environment-friendly approach for Vit B12 detection was set up. Herein, the Bird's nest carbon dots (B-CDs) are synthesized by using a bird's nest and distilled water as precursors. One-step hydrothermal synthesis has created B-CDs without toxic ingredients or surface chemical modifications. The prepared B-CDs exhibited outstanding characteristics including excellent water solubility, brilliant fluorescence performance great biocompatibility, and fine stability in a broad pH range of 3.0–11.0 and high ionic strength solution. The experiment revealed that the fluorescence of the reaction system showed a regular decrease after the interaction of B-CDs with Vit B12. Additionally, there was an excellent linear relationship between the F/F0 of B-CDs and the concentration of Vit B12. The linear range was 0 ∼ 100 µM, R2 was 0.9929, and the detection limit was 0.24 µM. Finally, the proposed method successfully detected Vit B12 in human serum samples with recoveries of 96.2 %-100.3 %, showing broad clinical prospects. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85173626081"
"Feng Z.; Cheng W.; Ma M.; Yu C.; Zhang Y.; Lu L.; Wang H.; Gui L.; Xu D.; Dong C.","Feng, Zizhao (57214882502); Cheng, Wenjie (58197239800); Ma, Mingyang (58844678000); Yu, Chenwei (57397325900); Zhang, Ye (7601308321); Lu, Liqun (55474690400); Wang, Hao (55981067000); Gui, Lang (56196565800); Xu, Dan (55683676500); Dong, Chuanfu (24175850000)","57214882502; 58197239800; 58844678000; 57397325900; 7601308321; 55474690400; 55981067000; 56196565800; 55683676500; 24175850000","Generation and Characterization of ORF55/ORF57-Deleted Recombinant Cyprinid herpesvirus 2 Mutants with Chimeric Capsid Protein Gene of Grouper Nervous Necrosis Virus","2024","Vaccines","12","1","43","","","","0","10.3390/vaccines12010043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183096127&doi=10.3390%2fvaccines12010043&partnerID=40&md5=87fd46f16d521d6cec9f357b1ba41942","Cyprinid herpesvirus 2 (CyHV-2) is a pathogen that causes significant losses to the global aquaculture industry due to mass mortality in crucian carp and goldfish. This study demonstrates that the ORF55/ORF57 deletion mutants CyHV-2-Δ55-CP and CyHV-2-Δ57-CP obtained through homologous recombination replicate effectively within the caudal fin of Carassius auratus gibelio (GiCF) cells and exhibit morphologies similar to the CyHV-2 wild-type strain. Both mutants demonstrated a decrease in virulence, with CyHV-2-Δ57-CP exhibiting a more significant reduction. This serves as a reference for the subsequent development of recombinant attenuated vaccines against CyHV-2. Additionally, both mutants expressed the inserted RGNNV-CP (capsid protein of Redspotted grouper nervous necrosis virus) fusion protein gene, and inoculation with CyHV-2-Δ57-CP-infected GiCF cell lysates elicited an antibody response in the grouper. These results indicate that, while ORF55 and ORF57 genes of CyHV-2 are not required for viral replication in vitro, they do play a role in virulence in vivo. Additionally, expression of foreign protein in CyHV-2 suggests that the fully attenuated mutant of CyHV-2 could potentially function as a viral vector for developing subunit vaccines or multivalent recombinant attenuated vaccines. © 2023 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183096127"
"Coon J.J.; Maresh Nelson S.B.; Bradley I.A.; Rola K.E.; Miller J.R.","Coon, Jaime J. (57045537800); Maresh Nelson, Scott B. (57203916070); Bradley, Iris A. (57201800929); Rola, Katherine E. (57732459000); Miller, James R. (55547129421)","57045537800; 57203916070; 57201800929; 57732459000; 55547129421","Increased abundance and productivity of a grassland bird after experimental control of invasive tall fescue","2022","Restoration Ecology","30","8","e13709","","","","0","10.1111/rec.13709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131531633&doi=10.1111%2frec.13709&partnerID=40&md5=ab8142f5ccb2327670992e1cc86092f1","Tall fescue (Schedonorus arundinaceus) is a widespread invasive grass in the United States that degrades habitat quality for biodiversity. Herbicide followed by seeding of native plants reduces tall fescue and is predicted to restore habitat quality over time, but little is known about short-term (1–2 year) impacts on native species. We conducted a landscape-scale controlled experiment to assess the short-term effects of herbicide and seeding on the reproduction of an obligate grassland bird, the dickcissel (Spiza americana). In 2014, four sites in southern Iowa were each subdivided into three patches (mean 7 ha). One patch in each site was treated with glyphosate herbicide (spray-only), one with herbicide and native seeding (spray-and-seed), with the third serving as a control. Two sites were grazed by cattle from April to July and two sites were ungrazed. We monitored dickcissel reproduction in 2016, finding that they were more abundant, built more nests, experienced less cowbird parasitism, had increased nest survival, and produced more fledglings on spray-only and spray-and-seed treatments compared to control patches. Dickcissels nested infrequently on grazed sites—especially grazed control patches. We did not detect any impacts on clutch size, provisioning rates, or nestling mass, but Araneae (spiders) and Lepidoptera larvae (caterpillars) may have been smaller on sprayed patches. Positive responses by dickcissels were likely due to successful reduction of tall fescue and improved access to suitable nest sites through increased vegetation heterogeneity. Our results indicate that using herbicide and seeding to restore tall fescue-dominated sites improves habitat quality for this grassland bird, shortly after restoration. © 2022 The Authors. Restoration Ecology published by Wiley Periodicals LLC on behalf of Society for Ecological Restoration.","Article","Final","","Scopus","2-s2.0-85131531633"
